Change Attribute Type,Change Package,Change Parameter Type,Change Return Type,Change Variable Type,Extract And Move Method,Extract Attribute,Extract Class,Extract Interface,Extract Method,Extract Subclass,Extract Superclass,Extract Variable,Inline Method,Inline Variable,Merge Parameter,Merge Variable,Move And Inline Method,Move And Rename Attribute,Move And Rename Class,Move And Rename Method,Move Attribute,Move Class,Move Method,Move Source Folder,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Rename Attribute,Rename Class,Rename Method,Rename Parameter,Rename Variable,Replace Attribute,Replace Variable With Attribute,Split Parameter,Split Variable
0.0,0.2218697320041945,0.5471890902422919,0.45307942820443675,0.3992183634789923,0.22437903225806452,0.14490779773872062,0.3842706302382701,0.4340555356152315,0.1573718710021544,0.4215448943661972,0.3078742154833114,0.13650919198974606,0.256869196073229,0.20822293773093967,0.3545942532365014,0.3202622098860214,0.33713282978561077,0.3150255649018638,0.541837069125212,0.3163798224162803,0.3451032036822135,0.2441460329897007,0.29522838740176094,0.07901730731833798,0.2139363498782708,0.2759812364031907,0.2617253034134525,0.3663242567530844,0.34876826152255747,0.4685326517013036,0.46851096509073153,0.2523450074929233,0.3198514394230883,0.23776692113957615,0.37930315042770707,0.23988017692625732,0.3100850546780073,0.34510178117048346
0.016927747936060406,0.0,0.017854701208014422,0.016809680539174754,0.016265201283587435,0.007475806451612903,0.00799878937241931,0.024200491226293266,0.025548993376186904,0.005551666229117442,0.02244718309859155,0.0209149898943613,0.005014588540562687,0.011461926240382064,0.008435610155999381,0.014485317335017367,0.010334849111202976,0.009613183794918746,0.011875309252845126,0.1297718625760577,0.012420060326007298,0.014408094610981446,0.18218333683978885,0.0158157537079714,0.04417579568289363,0.008257846599258658,0.014072697606961566,0.013265899028585925,0.016250883200173923,0.017203378259767112,0.014242170255299655,0.017060480917894052,0.01152409555584335,0.012443996089830434,0.009870232995963119,0.016273732526601293,0.009244162915694795,0.01956257594167679,0.020674300254452927
0.5228157483249479,0.2235953117326148,0.0,0.45571768487561964,0.41574206206689784,0.22095161290322582,0.1311585273580215,0.3550629225432355,0.4385584233367051,0.15626966367049627,0.44223151408450706,0.3483295011005736,0.13326429086605146,0.25930485539931014,0.21168034978079295,0.4536233028102305,0.3783145337506644,0.34399938963912413,0.285172356919017,0.5049232654573436,0.36278919069035476,0.30857770591840195,0.24211228879651192,0.3158157537079714,0.0839221278710486,0.28639264799420966,0.3164204133430022,0.32221158331491984,0.38292842002282734,0.39298601494080243,0.3245257382033235,0.41902056717389535,0.27666668722338367,0.4930294868602998,0.24216047827381634,0.36532443146254956,0.20565727168477793,0.3929526123936817,0.36036895674300257
0.4236696805450907,0.20602094588316497,0.44600291059718117,0.0,0.4198960289940747,0.2140241935483871,0.13038026677043474,0.31593573544678805,0.3786504388684047,0.1573051968346439,0.41032130281690143,0.31817623906586256,0.13642099213456452,0.26235075616874504,0.2110565898748916,0.32009788443321757,0.31606921396090476,0.333852140077821,0.2421243608774534,0.46902118927853853,0.3788581258823257,0.26743314252930517,0.21797336544762927,0.28322106009572773,0.07503079017307318,0.23925821946351414,0.2875951776649746,0.29788122069185635,0.347165606826458,0.36468431215744407,0.2443307234184332,0.3966530026853283,0.3042301612263315,0.27152506313070074,0.24025384027216493,0.31107865637387855,0.19333172113051822,0.3036452004860267,0.32538167938931295
0.3816252663474548,0.2037909659264372,0.4159482918525538,0.4292549740777203,0.0,0.21975,0.1485396804807921,0.2831261236168435,0.34091428198518614,0.17958270305409357,0.36454665492957744,0.2703319722770009,0.15309645507711087,0.2713929424250464,0.25650789501823756,0.32499210609409535,0.42555955825902086,0.31192492561226826,0.24031007751937986,0.4528121749291078,0.27421333189332636,0.24713142007745165,0.20706224321259034,0.24364474383974472,0.07315096908018409,0.3849055776105981,0.24836838288614937,0.24130678516772647,0.3192293059405402,0.3126450681698492,0.2429537503644163,0.3994044470664822,0.2288764315183808,0.2607979634353879,0.4654345509420297,0.3231796369705821,0.37146713056502506,0.3031591737545565,0.42048346055979646
0.05635426034400343,0.024609421665317176,0.05808051097621599,0.05748497027629132,0.05773600856854999,0.0,0.050943640962448924,0.07759602967614514,0.08083988644891833,0.07044750867805961,0.08204958920187794,0.07384071549558544,0.04858673957854695,0.08603343061820111,0.07843929330972947,0.09946321439848436,0.10323037855075887,0.14482337682154575,0.14151410192973776,0.06181512461347735,0.10140477825178008,0.10801507308359302,0.04100376520773935,0.09369201678189447,0.011116873014844104,0.08676770556883732,0.11240029006526468,0.10445770215969818,0.09927169954888852,0.09510620452905265,0.06257158177501979,0.04295508178045406,0.06285935710923223,0.0635747442708148,0.06251220281043678,0.1600250365115794,0.07879771275226423,0.0922235722964763,0.08237913486005088
0.013576631099660534,0.009822530761777082,0.012861320537729119,0.013063486029477862,0.014558483425979192,0.019004032258064515,0.0,0.01817410680373737,0.015792736646327535,0.020272072274797583,0.013681044600938967,0.017715552864355326,0.01631839578689208,0.020137967630671265,0.022158328085829362,0.01918219134827913,0.017834996751904565,0.021332112611581598,0.0359557974600033,0.01624463855679211,0.017418941749145638,0.020076799707926408,0.011165037978540493,0.016273710335046977,0.003910892158769257,0.02495997192551488,0.01848032994923858,0.01649030631869256,0.01709332028914615,0.014667732938032729,0.02032401815834409,0.013869110586703556,0.016412482860837192,0.017143097332828934,0.01924090065739744,0.04861255998330899,0.02973734095749245,0.01919805589307412,0.019720101781170483
0.06147663839130188,0.05074531770577538,0.0594520742509664,0.05405285394173525,0.0473834034136476,0.04942741935483871,0.0310331409300214,0.0,0.1004992332039025,0.036047805378105036,0.18518926056338028,0.11305223019581209,0.02413973133186049,0.06949323427964978,0.04426319103686718,0.10921218819071676,0.07919447233213252,0.08352788586251621,0.08411677387431965,0.12714992091425967,0.24024716691481074,0.364674742153782,0.08620318579619514,0.3433788335401525,0.023681424342602796,0.045379773210799904,0.09212971356055112,0.08757457464830228,0.13555084515462798,0.13423316233981547,0.0627602973637083,0.06306961510293758,0.04590006557592726,0.059498597275167944,0.04058695654545117,0.12497392030043813,0.05453666071191756,0.07861482381530985,0.07856234096692112
0.026943627510552626,0.020786598882355282,0.02849226614263198,0.025136001264976927,0.022137539635370483,0.01997983870967742,0.010463281233110664,0.03899425214594991,0.0,0.012172202706137773,0.054614143192488265,0.054112217594448855,0.009088852818625533,0.018365614221278855,0.014085092732306011,0.027233975371013578,0.017539715348727336,0.029434653238727397,0.024245423057892134,0.05066474770936347,0.032253585231699695,0.0286662407260115,0.028407126084885242,0.02959877090350411,0.011786694323804584,0.015550632772574737,0.061888143582306016,0.05218793220560916,0.04320887004728518,0.046636368955899274,0.018643798675607014,0.03263843681341037,0.01859663404315677,0.01935253713744979,0.012701830394296666,0.035259753807636136,0.015430341136915025,0.02029161603888214,0.024491094147582698
0.15298268640270926,0.07073549517501361,0.1589932259189421,0.16353292459849436,0.1826219890096269,0.2726693548387097,0.21033573297014507,0.21903881700554528,0.19062224687571377,0.0,0.2083700117370892,0.2005907911855919,0.17237523632582163,0.22537543114884584,0.29439685387384606,0.24494790022102936,0.30827378491702595,0.22993820096131837,0.19594260267194458,0.16221126579933595,0.22039821336275062,0.19309454578644727,0.10904592973063167,0.1894551793417243,0.03273481558306864,0.7255390081810804,0.20250181290790428,0.2041933662321082,0.19944018696668298,0.19811191948350856,0.1746868622714589,0.13238211001708847,0.19219913702901992,0.1981393283518549,0.23089408015078583,0.26517838514500314,0.2916942951423289,0.3025516403402187,0.2811704834605598
0.011639282502491312,0.00812349841379402,0.012779705103296521,0.012115836363104695,0.010529527490234841,0.00902016129032258,0.004031822210692436,0.03196136024105538,0.02429275296113812,0.005918374150425256,0.0,0.04740240080517801,0.00409275779608478,0.01014062085433802,0.007235614908455808,0.012156615093148089,0.007854485324514262,0.014938582436865798,0.013689592610918688,0.023925217663906977,0.028465852548426665,0.0185284184997327,0.016523869289011735,0.019488270401229097,0.0038136600332749943,0.007742416599039326,0.01622552574329224,0.017005884134115704,0.5781564215446492,0.5038717353566483,0.008205874390904169,0.01353344454390105,0.007952365975344274,0.009772190589510872,0.0059347925440419195,0.020863759649488837,0.007200305798469447,0.014337788578371811,0.011450381679389313
0.03810388968556822,0.033927552198786785,0.0451206159527436,0.04211246814543336,0.034999899355557744,0.03638709677419355,0.023401863501740276,0.08745853695591624,0.10788984239892975,0.025538289724260647,0.21247799295774647,0.0,0.01783201910807185,0.03908198461130273,0.029191963596183777,0.04613988001263025,0.03590621862635091,0.053025101091020065,0.07587003133762164,0.08484261225187739,0.08907728980397905,0.06021410037421929,0.055549509942615045,0.0711635052886604,0.015114193729608262,0.03211019235408944,0.5645735134155185,0.5211673336443168,0.15223653459427142,0.15701496030739823,0.031822654200158264,0.054738994222475384,0.037430698167779816,0.03860053004999801,0.02524659221179825,0.15042770707281453,0.02840337314434156,0.03608748481166464,0.03880407124681934
0.0971803627996662,0.04678975802062731,0.09929312554255715,0.10385915434992857,0.11401320243199349,0.13771774193548386,0.1239920444473269,0.10741777023776365,0.10423532482787874,0.12623399299087815,0.1055237676056338,0.10257018713842679,0.0,0.14871318652162377,0.15294592892701414,0.13972213451215662,0.17592866001299237,0.16653696498054474,0.12370113805047006,0.09799506960970118,0.11396369639509678,0.1096482077894984,0.06543287797776666,0.10324706021391006,0.023638210064605345,0.16501436624043164,0.10484273023930385,0.10242812599739756,0.10753301809880972,0.11215354307671302,0.10639654741576778,0.08211357718284645,0.1012315529160731,0.11149479919425502,0.1422059627158466,0.18527018568746087,0.1278424825843091,0.16160388821385177,0.21055979643765904
0.04902312260489836,0.028671170872214186,0.05179506258419904,0.05354491372055923,0.054182730049358155,0.065375,0.041020818470717944,0.08290076722457144,0.05646555943485496,0.04424664441416326,0.07009242957746478,0.060265610552414306,0.03986775712036008,0.0,0.08206304133448976,0.09658193874329019,0.09673418768085985,0.1820248722056916,0.0900544285007422,0.06596890719181499,0.08801271320460699,0.07490579322754358,0.037802008594443354,0.07344442474738522,0.01239169421576889,0.07518698045752638,0.06408629441624365,0.06576481467841856,0.07171585412250665,0.07298757533792351,0.055581296072633374,0.04588198795670925,0.06304025621892081,0.061621815038632864,0.06632438805973405,0.12038389317755059,0.08049832668949754,0.093681652490887,0.10178117048346055
0.03549712790349108,0.018848640110437104,0.0377688672095683,0.03847782553932096,0.04574448812766377,0.05324193548387097,0.04031822210692436,0.047166586483680654,0.038682415897151434,0.05162768311435036,0.04467429577464789,0.04020980451521574,0.036625701153284236,0.07330326346511011,0.0,0.06176981370382065,0.08817102698872024,0.07745479514763104,0.05772719775688603,0.041416703478347604,0.04951824051716822,0.04423806605557222,0.02450407837048967,0.04157950717957809,0.008286337806011106,0.08899392450595486,0.04005393401015228,0.04104163086265171,0.04416000869612479,0.04501745694279194,0.03868669568114614,0.03256723492554317,0.03849656394475177,0.0439107300096892,0.058394606439593495,0.06154809096599207,0.0627198901621824,0.06755771567436208,0.08492366412213741
0.009098348038143387,0.004871444310232688,0.012181898544595416,0.008783358622041573,0.008723224605553243,0.010161290322580644,0.00525325896621052,0.017515762286987566,0.011257219303683884,0.006465310680784922,0.011296948356807512,0.00956558027641172,0.0050359272152033785,0.012984876625099496,0.009296992883196502,0.0,0.1016949152542373,0.017624170290684367,0.008411677387431964,0.01105775396497428,0.013106635089370435,0.014404834861069459,0.006369657794125115,0.01114164155291615,0.001977053218383354,0.013686311495185665,0.010174945612762871,0.009607751671536012,0.011766943855644328,0.01061070042325772,0.009824923993169797,0.007923752949792497,0.00872838204247429,0.012631529029344593,0.008859104032844784,0.021489672438973505,0.007793180382092067,0.026731470230862697,0.019720101781170483
0.005492023754547148,0.0023228957882580935,0.006789980168509373,0.005796366873633354,0.007634145798836127,0.007048387096774193,0.003264370797933286,0.008488846124629681,0.004845498743759585,0.005438111787576102,0.004878227699530517,0.004975083668142281,0.004237860783641487,0.008691960732289733,0.008869271804864139,0.06796652983896433,0.0,0.010925459678034637,0.005607784924954643,0.0063553585932712995,0.007452036195604379,0.0068487345650841665,0.0031122815417763947,0.0061661643916563254,0.0008750891294483698,0.01300638255872612,0.004906182015953589,0.005123043054839475,0.005217674873634437,0.00544188495972225,0.005761682145683228,0.004422145821466352,0.0054002495585445025,0.00760155070341019,0.008858013278839264,0.008136866263300646,0.006958475376202327,0.011421628189550425,0.021310432569974554
0.0223752116601447,0.008362424837729136,0.023895303296733582,0.023695573772089713,0.02165656514290981,0.03827016129032258,0.015111226408975938,0.0346517104296964,0.03147126961855973,0.015698641097123427,0.035908157276995305,0.028434894320385568,0.015526019668567705,0.06330061024144336,0.030154336022431595,0.045587306599305336,0.04228429693497904,0.0,0.054098631040738906,0.02564942930019807,0.04534479167470242,0.043899052064725594,0.015392130546547592,0.03906813212787331,0.003500356517793479,0.02744938916061676,0.037266588107324146,0.03717070535955415,0.05100820696776999,0.048586865357233416,0.024788117945941445,0.018082736593701684,0.024862321387825077,0.025643512815289756,0.022476077037773903,0.061756728562486964,0.02761547402663255,0.053584447144592956,0.03371501272264631
0.001934310413274028,0.0009557056957404728,0.0018326374822592423,0.0015898853831266375,0.001543567919637002,0.0034596774193548386,0.0023564001124154184,0.00322842022636923,0.002398277156002219,0.0012376392344138716,0.0030443075117370893,0.00376404356471291,0.001066933732034614,0.0028973202440965773,0.0020791996863378757,0.0020129460056836123,0.0020079135416051497,0.005004959182116427,0.0,0.003277427077247531,0.003255444383587006,0.004589727876077347,0.0017411365268679131,0.0033741062459374817,0.0002808928069834273,0.0014037242559164784,0.014809191443074693,0.010377026507246733,0.003342572965922061,0.0033743587743080613,0.0030793178126691935,0.002179286353649605,0.0020865067765217624,0.0024681059280886623,0.0017582954569004916,0.05090757354475276,0.003986301476725772,0.0015795868772782503,0.0009541984732824427
0.07701694901522332,0.24176699364190238,0.07511587801778369,0.07129466272877617,0.06733007245340428,0.034983870967741935,0.02464491860691355,0.11296938697997114,0.11601461807028421,0.02371829330799715,0.12316607981220658,0.09743963210565507,0.019566142067205444,0.04913239586097108,0.03453253650480592,0.06125670982001895,0.052678202326817455,0.05493247882810712,0.07587003133762164,0.0,0.07870152512169344,0.07275109853572034,0.14979094270451704,0.07505170478047628,0.042458028132494975,0.035016340227666524,0.07738850616388687,0.07544622032358646,0.08804826349258112,0.08662154518324913,0.06035384823622506,0.0888930140776304,0.0485333810249168,0.05298128873929365,0.04123268291671984,0.09430419361568955,0.03886448915273542,0.07132442284325638,0.060432569974554706
0.04153399930324316,0.02137064125197446,0.04984689156488586,0.05318859744600292,0.03765797204627102,0.053004032258064514,0.024407116760706487,0.19714253158787634,0.06821222305609032,0.029763765090239317,0.13534330985915494,0.09448567617769559,0.02101574936446314,0.06054125762801804,0.03813252224743664,0.06705873065993054,0.05704836709384043,0.08969253070878157,0.06960250700973115,0.07268763270017242,0.0,0.15370046810008736,0.048118242516135744,0.1599893635880163,0.009247855491454376,0.04017064022985985,0.08494606598984772,0.08546316073752179,0.10302190336431327,0.10616551912461722,0.0428970055391279,0.04279996338188624,0.04289364571320502,0.05486847366509419,0.034669616065497594,0.08804506572084289,0.044005335871252604,0.05990279465370595,0.04611959287531807
0.10721548420549466,0.058669710766290135,0.10033716713887025,0.08885271574733819,0.08031744316502404,0.13361290322580646,0.06657370776314936,0.7081761324791735,0.14347244428492184,0.06171110916644789,0.2084800469483568,0.15115089723342798,0.04785126659259776,0.12193685327673123,0.08061948269511804,0.1744158509630565,0.12407724561507116,0.2054932478828107,0.2322282698334158,0.1590122119782835,0.363738052441969,0.0,0.11932105348432856,0.42367192578148083,0.028553834186815324,0.08001228258723928,0.16639095358955766,0.13528598201206288,0.20327191695200827,0.1768320037449531,0.11955457915122236,0.09250396696232403,0.08339140605888677,0.10311940567147031,0.07352336449617528,0.22470269142499477,0.11572755852686267,0.14289185905224788,0.1291348600508906
0.10224501535295595,1.0,0.10612020363580861,0.09762091197471778,0.0907124249271917,0.06837096774193549,0.04990596017899993,0.2256539133517332,0.19165007994257185,0.04697715993049218,0.25062353286384975,0.18796487983700055,0.03849212389519012,0.08295038471743169,0.060195801204747705,0.10396274076413009,0.07600543317781847,0.09712367437247273,0.11875309252845126,0.4413269304757969,0.15349960271235602,0.16084258015725034,0.0,0.1671778053536607,0.12967524470084915,0.06067817428113965,0.1723508883248731,0.1577995466188734,0.19503777379205392,0.1854141879108233,0.08520313606263796,0.11583529986166491,0.07292084224980934,0.08188399471027777,0.06172140615643376,0.15543500938869184,0.07173002363697353,0.10182260024301337,0.09796437659033079
0.10119481645318361,0.07105406374026042,0.11329812210304956,0.10381799927870322,0.08736361353805472,0.12786693548387096,0.05953693495038589,0.7356999974679057,0.16344177244102195,0.06680230692619586,0.2419307511737089,0.19708859412972857,0.04971199902126612,0.13190766781639693,0.0836016491023798,0.1488395958320177,0.12325045768617493,0.2017700465400168,0.18835559953818243,0.1809852230787865,0.4177306004057734,0.46743509837925235,0.13683156680523212,0.0,0.03424731531297941,0.08658127344109841,0.18104151559100798,0.1882841079276227,0.20395130170117942,0.2189627260137705,0.09981753154804048,0.10213147937179591,0.08869503904748396,0.1119453093592948,0.07685779949105419,0.21322762361777592,0.1000085810794998,0.13402187120291617,0.11577608142493638
0.007407092336484943,0.054276119303927686,0.00823361941133013,0.007521630780527587,0.0071733001948264515,0.004149193548387097,0.003912921287588906,0.013875876737649711,0.017799458348288576,0.0031566051180757834,0.012947476525821596,0.011447602058768176,0.0031126013409223142,0.006086495091536217,0.004556417598346145,0.007222923902747079,0.004783558731471092,0.00494392309452964,0.004288306119082963,0.028000626986049562,0.006603460645380277,0.008615519017380986,0.029026196849993833,0.009365951663416652,0.0,0.004869168512710284,0.008735949963741841,0.008224693722226313,0.009402684928528724,0.01020109617897755,0.005574268043813252,0.012439986980226218,0.0049346399182664934,0.005850165492430243,0.004920391318907021,0.008554141456290423,0.004532370172167659,0.007654921020656136,0.007951653944020356
0.019756297142486775,0.009995088734619111,0.02768035156113367,0.023628426024300986,0.037183354044900134,0.031903225806451614,0.024601681907603173,0.026194515483756616,0.023134401409599634,0.06892337888012401,0.02589495305164319,0.023958955559737826,0.02140553582123312,0.03638100291854603,0.04820772987037675,0.049257972844963686,0.07004074883363846,0.03819333180743115,0.02111166089394689,0.022749618820981234,0.028257565822462565,0.023783135357855346,0.013380150559944671,0.023326242392010872,0.0047967848577169896,0.0,0.024134336475707036,0.02359382288674474,0.028180879395619328,0.025785562425637325,0.022151305651576362,0.017223228090161934,0.02642977105984266,0.03504494862783011,0.03868904457584394,0.02983517629876904,0.03613414567552598,0.11846901579586877,0.07792620865139949
0.02466701504508665,0.016485923251523156,0.029599904181360093,0.0274894215221528,0.023222380781361074,0.04,0.017629764143805262,0.051471146785506294,0.08911149541553823,0.018618761277310363,0.05252347417840376,0.40771956238902207,0.01316311709668838,0.030013266118333777,0.020999916832012546,0.03544363751184086,0.025571369515147935,0.05018692301823453,0.21556984990928582,0.04866266725565356,0.05783428090936442,0.04786942745752546,0.036783927375260865,0.047207941854281156,0.008329552084008556,0.02335884894611015,0.0,0.513818303830825,0.0567422142507745,0.053482611324582104,0.022695327141726708,0.02897408251281634,0.024567332498730624,0.02697672112666341,0.017671305643452147,0.19361568954725641,0.02284127343219777,0.025394896719319562,0.02385496183206107
0.03238805305074172,0.021516651844379255,0.04173198551273042,0.03942114309293357,0.031237916045584516,0.05146774193548387,0.021780487277601228,0.06773985263211202,0.10403954710085817,0.025993549274293357,0.07621772300469483,0.5210991007208962,0.017804990120193643,0.042642610772088085,0.029791961219955563,0.04633722766024629,0.036969231677788934,0.06930647745479515,0.2091373907306614,0.0656839135329239,0.08056067700900262,0.053886925795053005,0.04662860348759319,0.0679755362524375,0.010857587346859402,0.031616695545368806,0.7113963923132705,0.0,0.07478667318876026,0.08884511108077006,0.029287357877639416,0.03978151192123037,0.0356669318483161,0.03957052801300228,0.024366353729342483,0.18631337366993533,0.026507734673021865,0.03766707168894289,0.03371501272264631
0.013651572969075338,0.00793766675073337,0.014935624501165404,0.013835685129048224,0.012444950138624476,0.01472983870967742,0.006798970966556413,0.03157521586103867,0.02594054883022808,0.0076456518024944475,0.7803330399061033,0.045839504455482,0.005629142370214625,0.014003714513133456,0.009653427115140138,0.0170903062835491,0.01133880588200555,0.028641184100099183,0.02028698664027709,0.023084486370178264,0.029244999189996065,0.02438292934166091,0.017355745629626405,0.02217396442711103,0.003738035046779456,0.011372359792073345,0.023658448150833938,0.022521748381658525,0.0,0.5354112621662213,0.010985850235308816,0.013881825209536984,0.010151934695421402,0.012424596130570347,0.007994136106466317,0.03797204256206969,0.010851165076566633,0.02381530984204131,0.010814249363867684
0.01810858874332612,0.011707394772820791,0.021355685362960796,0.02024937807106181,0.016981365946370286,0.019661290322580644,0.008128499470350433,0.043564682348770666,0.039008712108852414,0.010581398740691661,0.9475132042253521,0.06587076238247593,0.008179825278932042,0.019856725921995225,0.013710836788765193,0.0214714240606252,0.016476702297289317,0.03801022354467078,0.028533729176975095,0.03164142097838323,0.04198906108972529,0.029552892702071898,0.022987838645008862,0.033167878035809256,0.005650266848166634,0.014497839580637379,0.031068709209572155,0.03727709443257797,0.7459644545899233,0.0,0.01440225313398026,0.019748352184880788,0.015361006785772286,0.018214406194191436,0.011200952882699223,0.044439808053411224,0.013105648690605279,0.02563791008505468,0.023536895674300253
0.36458004196744687,0.14525399206233325,0.2642962152697178,0.20331904819150537,0.19776526961586666,0.19385887096774193,0.16879607410770261,0.30525662775681767,0.23370966163082846,0.1398292724598184,0.23125733568075119,0.20007528087129425,0.11629577679177294,0.22661713982488724,0.1765834590754096,0.2979554783706978,0.2614421543731176,0.29062333104448007,0.39023585683654954,0.33040027359391255,0.2542640921398761,0.2994406269151031,0.158312838705465,0.22659989363588015,0.04627168816576997,0.18665145965389424,0.19758430021754894,0.18415948540423757,0.2293874667101473,0.21584193177163588,0.0,0.2944782935958988,0.2995740648235514,0.3562964184441879,0.22756291741792348,0.3329856040058419,0.2340060379595753,0.2550425273390036,0.3905852417302799
0.18658601301152888,0.089053187676706,0.17465596974505246,0.16893398618272634,0.16639704550294146,0.06811290322580645,0.05895323950969583,0.15700250677335223,0.20940059385910528,0.054234226350464425,0.1952024647887324,0.17614087342176107,0.04593647618817297,0.09574422923852481,0.07608088680836908,0.12298705399431639,0.10269887202503987,0.10850690470740826,0.1413491670790038,0.24906308334639554,0.12983977350747133,0.11857992254834208,0.11015590426650997,0.11866394847249305,0.052851061990881784,0.07427675301033053,0.12910170413343003,0.12802697372189897,0.14835045382901244,0.15147555052760928,0.15071607804756154,0.0,0.12272771189349976,0.11956626002196506,0.10061769399332676,0.15919048612559983,0.08030330215541115,0.10972053462940462,0.1319974554707379
0.24863585543105754,0.1488246147311414,0.28530847984363755,0.32056659702795404,0.23590845381532485,0.2466008064516129,0.17260090364701558,0.28268933735092294,0.2951838679152935,0.19480733249157198,0.28378080985915494,0.2979895097742392,0.14010973769078552,0.325460334306182,0.2224981287202823,0.33517524471108306,0.31028169845863107,0.36910048065918977,0.334817746989939,0.33642788947945906,0.32193413510865626,0.2644732896092212,0.17156482227107078,0.25495774980795366,0.05186793716643979,0.2819950430987213,0.2708257795503988,0.28398517099997544,0.2684113267025382,0.2915016871793872,0.37933264961892466,0.30363536496053384,0.0,0.3562479185460377,0.2613326614288659,0.35614437721677444,0.2519873000023403,0.3419198055893074,0.383587786259542
0.3005472781923211,0.1532580272641597,0.48487093631982225,0.2728483749703521,0.25635516682081155,0.2378508064516129,0.1719307348077048,0.3494606639151242,0.2929487388651418,0.1915225879578119,0.3325630868544601,0.29306352232650623,0.1471643035269984,0.30339612629344653,0.24203072463079353,0.46258288601199876,0.41652394732179765,0.36305790798809795,0.3777008081807686,0.35024295709420467,0.39272847896689783,0.3118863520790685,0.1837261772622079,0.3068811676416711,0.058641775242540134,0.35658982738578293,0.283606780275562,0.30046729354382,0.31327789553780094,0.3296338918254696,0.43025201990754236,0.2821069655789731,0.3397408620253711,0.0,0.2961113528949157,0.3880659294804924,0.23368619772367363,0.4183475091130012,0.5139949109414759
0.22075849273671502,0.12011362278827137,0.23531955622402484,0.2385521212731646,0.45206199273876835,0.23109274193548388,0.1906738439587522,0.23554807181019422,0.18998596926289685,0.22052793439261917,0.19956719483568075,0.18939685293227176,0.18546722450704106,0.3226638365614221,0.3180343840222415,0.32057151878749607,0.47959605504045355,0.31442740520332646,0.26587497938314364,0.2693332573350243,0.24519976239884594,0.21972670256737903,0.13683882154076074,0.2081870826685576,0.04873490201162464,0.3889851512293554,0.18356825598259607,0.1828173463291678,0.1991684330670145,0.20029647545300278,0.271527893465495,0.23457461957848483,0.2462581635862426,0.29258803000958145,0.0,0.29355309826830794,0.25046610863646646,0.3093560145808019,0.5562977099236641
0.001841139440488054,0.001035347837052179,0.0018559561778114131,0.001614795031499875,0.001641034116347094,0.003092741935483871,0.002518537734829323,0.0037918112070493507,0.002757202988873299,0.0013241072954040664,0.0036678403755868545,0.005899729152517409,0.0012632495387289832,0.003061820111435394,0.0017524683070562097,0.004065361540890432,0.0023031949447823775,0.004516670481422141,0.04024410357908626,0.0032204283454693133,0.003255444383587006,0.0035107506552097324,0.001801592656273049,0.003019559179814454,0.0004429463494738662,0.0015682231921566906,0.010514865844815084,0.007308110939251839,0.004945920973965977,0.004154557334841717,0.002077172962392237,0.0019402514443811539,0.0017545157968091865,0.0020046624568755074,0.0015346908857686052,0.0,0.0026211297381210554,0.004981773997569866,0.004134860050890585
0.031141384925746786,0.015729322909061948,0.02794321685644905,0.026840687636258485,0.05044723211892571,0.04072983870967742,0.04120457444278704,0.04425467804421036,0.03227069533722714,0.038954382368016405,0.033854166666666664,0.029793223085042838,0.02331321333411101,0.054757230034491906,0.04776218708044721,0.039430059993684874,0.052678202326817455,0.054016937514305335,0.0842817087250536,0.03549596021488522,0.043516497080128676,0.04835838994432347,0.02223576439520897,0.037877444897476804,0.0062768738791296646,0.050797271510977564,0.033176214648295864,0.027808466933457728,0.03780096744388282,0.032768339542413545,0.03904070009578943,0.02617686548946212,0.03320115364295861,0.03228584331084016,0.03502083885527549,0.0701022324222825,0.0,0.046658566221142166,0.041348600508905854
0.002584481766845717,0.0021370641251974463,0.0034278482461691092,0.002706487447161762,0.0026432408781704325,0.003060483870967742,0.0017078496227597986,0.004095662522472337,0.002724573367703201,0.002594041829705842,0.004328051643192488,0.002430262910260292,0.0018920291514747157,0.004091270894136375,0.0033029572160110255,0.008683296495105778,0.005551290379731884,0.006729228656443122,0.0021441530595414813,0.0041822819442267406,0.003803161329640744,0.003833465896496421,0.0020264894576601544,0.0032588784494474977,0.0006806248784598432,0.0106924308556138,0.002368110949963742,0.0025369702028757786,0.005326376433501821,0.0041155474068150346,0.002731820832118612,0.0022962608837171455,0.002892330083316374,0.0037107810962485866,0.002777059698057476,0.008554141456290423,0.0029955768435669205,0.0,0.022900763358778626
0.0010988098420954557,0.0008627898642101491,0.0012009128209367968,0.0011079378385139987,0.001400546870116758,0.0010443548387096774,0.000670168839310807,0.001563568227280784,0.0012562404150487812,0.0009209369387389414,0.0013204225352112676,0.000998289814989076,0.0009417468408092195,0.0016980631467232688,0.0015861323321491796,0.002447110830438901,0.003956770802574854,0.0016174563210498208,0.0004948045522018803,0.001353719879732676,0.0011185768616590423,0.0013234584642666215,0.0007448195142712739,0.0010754594339065177,0.00027008923748406474,0.0026868159585901343,0.0008498005801305294,0.0008674801338865565,0.0009239632588727648,0.0014433673369872633,0.0015982258131689642,0.0010553136951745464,0.0012395700357070174,0.001741685231349903,0.001907728755656923,0.002712288754433549,0.001014127577249218,0.008748481166464156,0.0
